Timestamp,Longitude,Latitude,Service
1426527829739,13.3345,52.4773,GPS
1426528013568,13.3494,52.4726,GPS
1426528596534,13.4427,52.4704,GPS
1426528720543,13.4565,52.4727,GPS
1426529039887,13.4717,52.5059,GPS
1426529225594,13.4758,52.5133,GPS
1426529287176,13.4758,52.5133,GPS
1426529419303,13.4754,52.5192,GPS
1426529490288,13.4752,52.519,GPS
1426529551224,13.4752,52.519,GPS
1426529611243,13.4752,52.519,GPS
1426529673242,13.477,52.5218,GPS
1426529734158,13.477,52.5218,GPS
1426529829281,13.4773,52.5217,GPS
1426529924475,13.477,52.5218,GPS
1426530015570,13.4773,52.5217,GPS
1426530077331,13.4773,52.5217,GPS
1426530139185,13.4771,52.5218,GPS
1426530274714,13.4795,52.5193,GPS
1426530350307,13.4795,52.5193,GPS
1426530410595,13.4795,52.5193,GPS
1426530470911,13.4795,52.5193,GPS
1426530582994,13.4795,52.5193,GPS
1426530643792,13.4795,52.5193,GPS
1426530704981,13.4795,52.5193,GPS
1426530888904,13.4795,52.5193,GPS
1426531080570,13.4795,52.5193,GPS
1426531224911,13.4795,52.5193,GPS
1426531352884,13.4795,52.5193,GPS
1426531525429,13.4795,52.5193,GPS
1426531777915,13.4795,52.5193,GPS
1426531991781,13.4794,52.5194,GPS
1426532074983,13.4795,52.5193,GPS
1426532136906,13.4795,52.5193,GPS
1426532203016,13.4796,52.5193,GPS
1426532263613,13.4795,52.5193,GPS
1426532330293,13.4796,52.5193,GPS
1426532450404,13.4796,52.5193,GPS
1426532536750,13.4796,52.5193,GPS
1426532655642,13.4795,52.5193,GPS
1426532777282,13.4795,52.5193,GPS
1426532839979,13.4795,52.5193,GPS
1426532993480,13.4795,52.5193,GPS
1426533080131,13.4795,52.5193,GPS
1426533144172,13.4795,52.5193,GPS
1426533204981,13.4795,52.5193,GPS
1426533265243,13.4795,52.5193,GPS
1426533326207,13.4795,52.5193,GPS
1426533444817,13.4795,52.5193,GPS
1426533507426,13.4795,52.5193,GPS
1426533627365,13.4796,52.5193,GPS
1426533689097,13.4795,52.5193,GPS
1426533775250,13.4795,52.5193,GPS
1426533985341,13.4795,52.5193,GPS
1426534073760,13.4796,52.5193,GPS
1426534188810,13.4795,52.5193,GPS
1426534271858,13.4796,52.5193,GPS
1426534425024,13.4795,52.5193,GPS
1426534486645,13.4796,52.5193,GPS
1426534546693,13.4796,52.5193,GPS
1426534606807,13.4796,52.5193,GPS
1426534668703,13.4796,52.5193,GPS
1426534728864,13.4796,52.5193,GPS
1426534788908,13.4796,52.5193,GPS
1426534849964,13.4796,52.5193,GPS
1426534965890,13.4796,52.5193,GPS
1426535034519,13.4796,52.5193,GPS
1426535175592,13.4795,52.5193,GPS
1426535236738,13.4795,52.5193,GPS
1426535312019,13.4795,52.5193,GPS
1426535393060,13.4795,52.5193,GPS
1426535500965,13.4795,52.5194,GPS
1426535563857,13.4795,52.5193,GPS
1426535658110,13.4794,52.5193,GPS
1426535790907,13.4796,52.5193,GPS
1426535852725,13.4796,52.5193,GPS
1426535973713,13.4796,52.5193,GPS
1426536034829,13.4796,52.5193,GPS
1426536133885,13.4797,52.5193,GPS
1426536200287,13.4797,52.5194,GPS
1426536260638,13.4796,52.5193,GPS
1426536320645,13.4796,52.5193,GPS
1426536380841,13.4796,52.5193,GPS
1426536441915,13.4796,52.5193,GPS
1426536501928,13.4797,52.5193,GPS
1426536562084,13.4797,52.5194,GPS
1426536623104,13.4796,52.5193,GPS
1426536683138,13.4797,52.5193,GPS
1426536743281,13.4796,52.5193,GPS
1426536804390,13.4796,52.5193,GPS
1426536864544,13.4796,52.5193,GPS
1426537945588,13.4797,52.5194,GPS
1426539045485,13.4797,52.5193,GPS
1426540140896,13.4796,52.5193,GPS
1426541222172,13.4796,52.5193,GPS
1426542321552,13.4796,52.5193,GPS
1426543402665,13.4796,52.5193,GPS
1426544544793,13.4797,52.5193,GPS
1426545644285,13.4797,52.5193,GPS
1426546727301,13.4797,52.5193,GPS
