Timestamp,Longitude,Latitude,Service
1404961540268,13.289,52.4786,GPS
1404961800658,13.2889,52.4786,GPS
1404961825384,13.2891,52.4786,GPS
1404962085708,13.289,52.4786,GPS
1404962114708,13.289,52.4786,GPS
1404962370815,13.289,52.4787,GPS
1404962420098,13.289,52.4786,GPS
1404962705337,13.289,52.4786,GPS
1404962718705,13.2889,52.4787,GPS
1404962990267,13.289,52.4786,GPS
1404963026668,13.289,52.4787,GPS
1404963275437,13.289,52.4786,GPS
1404963343800,13.2889,52.4787,GPS
1404963560336,13.289,52.4786,GPS
1404963629134,13.289,52.4787,GPS
1404963845544,13.2892,52.4786,GPS
1404964004909,13.289,52.4787,GPS
1404964141663,13.2891,52.4786,GPS
1404964290784,13.289,52.4787,GPS
1404964426750,13.289,52.4786,GPS
1404964585674,13.2888,52.4787,GPS
1404964711758,13.289,52.4786,GPS
1404964870735,13.2889,52.4787,GPS
1404964996804,13.289,52.4786,GPS
1404965155818,13.2888,52.4787,GPS
1404965281732,13.2891,52.4786,GPS
1404965445123,13.289,52.4787,GPS
1404965566887,13.289,52.4786,GPS
1404965730733,13.289,52.4787,GPS
1404965852016,13.289,52.4786,GPS
1404966138100,13.289,52.4786,GPS
1404966165701,13.2889,52.4786,GPS
1404966423965,13.289,52.4786,GPS
1404966450764,13.2888,52.4786,GPS
1404966709141,13.289,52.4786,GPS
1404966744627,13.2888,52.4787,GPS
1404966994147,13.289,52.4786,GPS
1404967218683,13.2888,52.4786,GPS
1404967279520,13.2891,52.4786,GPS
1404967513655,13.2889,52.4787,GPS
1404967564426,13.2891,52.4786,GPS
1404967827238,13.2889,52.4787,GPS
1404967849543,13.289,52.4786,GPS
1404968119863,13.289,52.4786,GPS
1404968153025,13.289,52.4786,GPS
1404968405030,13.289,52.4787,GPS
1404968438955,13.2891,52.4786,GPS
1404968699600,13.2889,52.4786,GPS
1404968723830,13.289,52.4786,GPS
1404969009090,13.289,52.4786,GPS
1404969018739,13.2889,52.4787,GPS
1404969313799,13.2889,52.4787,GPS
1404969316959,13.2888,52.4786,GPS
1404969602131,13.289,52.4786,GPS
1404969626795,13.2889,52.4786,GPS
1404969887106,13.2891,52.4786,GPS
1404969918977,13.289,52.4786,GPS
1404970172293,13.2889,52.4786,GPS
1404970226674,13.2888,52.4786,GPS
1404970457389,13.2889,52.4786,GPS
1404970547787,13.289,52.4786,GPS
1404970742330,13.289,52.4786,GPS
1404970832764,13.2889,52.4787,GPS
1404971027383,13.289,52.4786,GPS
1404971126796,13.289,52.4786,GPS
1404971312657,13.2889,52.4786,GPS
1404971426578,13.289,52.4786,GPS
1404971597548,13.289,52.4786,GPS
1404971718858,13.289,52.4787,GPS
1404971894154,13.289,52.4786,GPS
1404972004755,13.2889,52.4786,GPS
1404972179274,13.289,52.4786,GPS
1404972299808,13.289,52.4786,GPS
1404972464361,13.2891,52.4786,GPS
1404972618806,13.2888,52.4786,GPS
1404972749237,13.2889,52.4786,GPS
1404972914514,13.289,52.4786,GPS
1404973034283,13.2889,52.4786,GPS
1404973199872,13.289,52.4787,GPS
1404973319293,13.2889,52.4786,GPS
1404973518756,13.2889,52.4787,GPS
1404973604493,13.289,52.4786,GPS
1404973826575,13.289,52.4786,GPS
1404973890784,13.2889,52.4786,GPS
1404973997054,13.2888,52.4786,GPS
1404974058269,13.2888,52.4786,GPS
1404974118322,13.289,52.4786,GPS
1404974152233,13.2889,52.4786,GPS
1404974178337,13.289,52.4786,GPS
1404974238354,13.289,52.4786,GPS
1404974298340,13.2889,52.4786,GPS
1404974358380,13.2888,52.4786,GPS
1404974418410,13.2891,52.4786,GPS
1404974438649,13.289,52.4787,GPS
1404974478647,13.2891,52.4786,GPS
1404974538690,13.2889,52.4786,GPS
1404974598656,13.2888,52.4786,GPS
1404974659370,13.2889,52.4786,GPS
1404974719625,13.2892,52.4786,GPS
1404974723864,13.2889,52.4787,GPS
1404974779916,13.2889,52.4786,GPS
1404974840003,13.2891,52.4786,GPS
1404974943796,13.289,52.4786,GPS
1404975129692,13.289,52.4786,GPS
1404975232713,13.2888,52.4786,GPS
1404975414803,13.2891,52.4786,GPS
1404975522675,13.289,52.4787,GPS
1404975646803,13.2889,52.4786,GPS
1404975734425,13.2889,52.4786,GPS
1404975796993,13.2889,52.4786,GPS
1404975817637,13.289,52.4786,GPS
1404975862017,13.289,52.4786,GPS
1404976078445,13.289,52.4786,GPS
1404976105709,13.2888,52.4786,GPS
1404976143676,13.289,52.4786,GPS
1404976203626,13.289,52.4786,GPS
1404976269439,13.289,52.4786,GPS
1404976330409,13.289,52.4786,GPS
1404976390637,13.289,52.4786,GPS
1404976391530,13.289,52.4786,GPS
1404976459719,13.289,52.4786,GPS
1404976520324,13.2889,52.4786,GPS
1404976580418,13.289,52.4786,GPS
1404976641502,13.289,52.4786,GPS
1404976684697,13.289,52.4787,GPS
1404976701545,13.289,52.4786,GPS
1404976966311,13.2889,52.4786,GPS
1404976973977,13.289,52.4786,GPS
1404977026212,13.2889,52.4786,GPS
1404977087720,13.289,52.4786,GPS
1404977147887,13.2889,52.4786,GPS
1404977208774,13.289,52.4786,GPS
1404977258944,13.2888,52.4787,GPS
1404977269864,13.2889,52.4786,GPS
1404977335428,13.2889,52.4786,GPS
